ID,LIMIT_BAL,MARITAL,EDUCATION,SEX,AGE,DELAY1,DELAY2,BILLING1,BILLING2,PAYMENT1,PAYMENT2,TARGET
94,5.00E+05,Married,GradSch,Female,32,0,0,4031,3684,3709,7594,0
95,170000,Married,GradSch,Female,38,0,0,352,14540,14547,1500,0
96,50000,Married,GradSch,Female,39,0,0,32570,34713,3000,6000,0
97,30000,Married,GradSch,Female,35,0,0,1393,1393,1393,1393,0
98,50000,Married,GradSch,Female,43,0,0,2435,0,0,197,0
99,20000,Married,GradSch,Female,41,0,0,17927,17384,1500,1500,0
100,280000,Married,GradSch,Female,40,0,0,269,4160,4166,3607,0
101,150000,Married,GradSch,Female,39,0,0,6156,0,0,0,0
102,150000,Married,GradSch,Female,35,0,0,62854,50558,5000,3000,0
103,3.00E+05,Married,GradSch,Female,43,0,0,788,736,1000,736,0
104,340000,Married,GradSch,Female,29,0,0,132749,134235,5290,6706,0
105,180000,Married,GradSch,Female,37,0,0,23398,14445,1541,1500,0
106,50000,Married,GradSch,Female,38,0,0,48136,72898,3700,5396,0
107,50000,Married,GradSch,Female,40,0,0,390,918,918,19583,0
108,10000,Married,GradSch,Female,36,0,0,8099,9727,2000,3000,0
109,150000,Married,GradSch,Female,40,0,0,138066,140522,5767,6100,0
110,320000,Married,GradSch,Female,40,0,0,25840,13260,13326,13289,0
111,30000,Married,GradSch,Female,39,1,3,12271,11791,0,0,0
112,30000,Married,GradSch,Female,43,1,2,39347,34702,1200,1000,0
113,150000,Married,GradSch,Female,37,0,0,17723,19440,2019,2020,0
114,180000,Married,GradSch,Female,42,1,0,0,4835,4835,2200,0
115,110000,Married,GradSch,Female,32,0,0,112953,225099,12500,0,0
116,140000,Married,GradSch,Female,39,0,0,107,232,232,107,0
117,2.00E+05,Married,GradSch,Female,41,0,0,192910,199344,10000,10000,0
118,80000,Married,GradSch,Female,40,0,0,1812,390,390,388,0
119,50000,Married,GradSch,Female,40,0,0,47838,49246,2180,2310,0
120,160000,Married,GradSch,Female,37,0,0,151246,155926,10517,20258,0
121,30000,Married,GradSch,Female,37,0,0,28218,28704,2000,3600,0
122,320000,Married,GradSch,Female,39,0,0,151222,135038,6500,8000,0
123,60000,Married,GradSch,Female,37,0,0,60655,60281,2410,2203,0
124,390000,Married,GradSch,Female,38,0,0,6782,1466,1466,3273,0
125,130000,Married,GradSch,Female,35,0,0,67260,69269,4000,5000,0
126,10000,Married,GradSch,Female,34,1,0,0,0,0,0,0
127,2.00E+05,Married,GradSch,Female,36,0,0,3024,11080,10000,0,0
128,250000,Married,GradSch,Female,43,0,0,7351,6225,3039,2000,0
129,2.00E+05,Married,GradSch,Female,38,0,0,194747,197031,9000,7100,0
130,1.00E+05,Married,GradSch,Female,36,0,0,19164,23828,5000,2000,0
131,420000,Married,GradSch,Female,34,0,0,3717,-2953,5,0,0
132,5.00E+05,Married,GradSch,Female,36,0,0,74615,74399,4010,6720,0
133,70000,Married,GradSch,Female,36,4,4,77021,73268,0,2001,0
134,50000,Married,GradSch,Female,35,0,0,50664,49163,3000,2500,0
135,20000,Married,GradSch,Female,30,0,0,0,0,0,0,0
136,490000,Married,GradSch,Female,42,0,0,128821,93626,3047,2647,0
137,160000,Married,GradSch,Female,34,0,0,554,-78,0,700,0
138,390000,Married,GradSch,Female,35,0,0,30356,32910,33074,78772,0
139,90000,Married,GradSch,Female,41,0,0,101106,96216,4208,4022,0
140,130000,Married,GradSch,Female,36,0,0,84963,83958,2980,4012,0
141,380000,Married,GradSch,Female,35,0,0,59881,61070,2185,2263,0
142,30000,Married,GradSch,Female,39,1,2,20494,19867,0,1500,0
143,50000,Married,GradSch,Female,36,0,0,48139,49364,2299,2493,0
144,3.00E+05,Married,GradSch,Female,39,0,0,530,25576,25576,1561,0
145,110000,Other,GradSch,Female,42,0,0,316,316,316,632,0
146,190000,Married,GradSch,Female,39,0,0,181045,184249,8000,7000,0
147,20000,Married,GradSch,Female,34,0,0,18690,12289,3500,1000,0
148,1.00E+05,Married,GradSch,Female,42,0,0,36838,37785,1607,1385,0
149,250000,Married,GradSch,Female,41,0,0,22839,7745,7783,12046,0
150,50000,Married,GradSch,Female,34,0,0,47578,33666,2000,2000,0
151,50000,Married,GradSch,Female,38,0,0,44883,47349,3189,1500,0
152,360000,Married,GradSch,Female,38,0,0,1090,303,303,0,0
153,240000,Married,GradSch,Female,38,0,0,24469,11511,11511,4670,0
154,80000,Married,GradSch,Female,44,0,0,23833,17815,5000,5000,0
155,50000,Married,GradSch,Female,38,0,0,56672,53540,2500,1066,0
156,160000,Married,GradSch,Female,39,1,2,58943,60210,2800,2120,0
157,20000,Married,GradSch,Female,38,1,2,20464,19322,4,1640,0
158,50000,Married,GradSch,Female,38,0,0,49772,50537,1778,2110,0
159,80000,Married,GradSch,Female,34,0,0,23998,17442,3150,2000,0
160,260000,Married,GradSch,Female,38,1,0,0,6500,6500,0,0
161,80000,Married,GradSch,Female,40,0,0,33490,35908,5000,1318,0
162,50000,Married,GradSch,Female,42,0,0,22187,23755,5000,2049,0
163,60000,Married,GradSch,Female,38,0,0,728,0,22,10785,0
164,320000,Married,GradSch,Female,36,0,0,3337,9061,9061,7935,0
165,160000,Married,GradSch,Female,37,0,0,3097,-707,0,0,0
166,80000,Married,GradSch,Female,34,0,0,1069,1460,2000,4507,0
167,80000,Married,GradSch,Female,37,0,2,726,726,0,15400,0
168,20000,Married,GradSch,Female,35,0,0,16849,18686,2116,800,0
169,220000,Married,GradSch,Female,40,0,0,9649,8300,8300,1590,0
170,120000,Married,GradSch,Female,43,2,2,121522,120084,2000,5700,0
171,280000,Married,GradSch,Female,37,0,0,-26,-26,0,0,0
172,1.00E+05,Married,GradSch,Female,39,0,0,59219,60464,2197,2500,0
173,240000,Married,GradSch,Female,36,0,0,227675,181461,10003,10009,0
174,2.00E+05,Married,GradSch,Female,40,0,0,528,13921,13921,1528,0
175,110000,Married,GradSch,Female,38,0,0,81700,84584,5000,3000,0
176,2.00E+05,Married,GradSch,Female,39,0,0,8413,8611,5000,8000,0
177,50000,Married,GradSch,Female,40,1,2,22446,21799,0,1698,0
178,360000,Married,GradSch,Female,39,0,0,18454,16419,6028,6032,0
179,80000,Married,GradSch,Female,38,0,0,4965,51932,51932,0,0
180,2.00E+05,Married,GradSch,Female,42,0,0,10742,165,165,1295,0
181,160000,Married,GradSch,Female,37,0,0,160,0,0,0,0
182,20000,Married,GradSch,Female,39,1,2,17538,16975,0,1400,0
183,130000,Married,GradSch,Female,33,0,0,89634,90999,5000,5000,0
184,240000,Married,GradSch,Female,35,0,0,188964,183744,8000,6017,0
185,230000,Married,GradSch,Female,35,0,0,63370,64621,2305,2515,0
186,360000,Married,GradSch,Female,35,0,0,949,40,40,175539,0
187,180000,Married,GradSch,Female,35,0,0,178517,130975,5000,7000,0
188,250000,Married,GradSch,Female,39,0,0,209263,199834,7127,7335,0
189,180000,Married,GradSch,Female,35,0,0,68488,47603,3603,5705,0
190,430000,Married,GradSch,Female,36,0,0,268537,207118,10000,8000,0
191,1.00E+05,Married,GradSch,Female,43,0,0,1872,4490,4503,4066,0
192,270000,Married,GradSch,Female,41,0,0,3291,0,0,0,0
193,20000,Married,GradSch,Female,38,0,0,2508,3448,1000,202,0
194,360000,Married,GradSch,Female,38,0,0,12325,14118,14123,38722,0
195,550000,Married,GradSch,Female,41,0,0,67886,67806,3688,2577,0
196,170000,Married,GradSch,Female,37,0,0,23070,186183,164000,7000,0
197,160000,Married,GradSch,Female,38,0,0,86179,83960,4000,3000,0
198,2.00E+05,Married,GradSch,Female,36,0,0,196845,189104,8990,7000,0
199,10000,Married,GradSch,Female,34,2,2,9415,8852,1000,1000,0
200,230000,Married,GradSch,Female,35,1,0,3884,949,949,2873,0
201,360000,Married,GradSch,Female,42,0,0,1189,-11,0,0,0
202,450000,Other,GradSch,Female,37,1,0,0,0,0,0,0
203,20000,Married,GradSch,Female,41,0,0,18356,0,0,0,0
204,20000,Married,GradSch,Female,30,0,0,18475,18993,1400,1300,0
205,1.00E+05,Married,GradSch,Female,39,0,0,37767,34457,1788,1799,0
206,440000,Married,GradSch,Female,31,0,0,14234,11061,11066,19669,0
207,150000,Married,GradSch,Female,33,0,0,255207,249205,6301,8000,0
208,40000,Married,GradSch,Female,34,0,0,31475,32663,2000,2000,0
209,60000,Married,GradSch,Female,33,0,0,28406,28781,1790,1760,0
210,70000,Married,GradSch,Female,34,0,0,54428,25085,2002,1819,0
211,250000,Married,GradSch,Female,37,0,0,111204,114954,5600,5000,0
212,80000,Married,GradSch,Female,40,0,0,6808,8686,2000,3100,0
213,50000,Married,GradSch,Female,43,0,0,4821,15898,12000,1551,0
214,50000,Married,GradSch,Female,40,0,0,0,0,0,0,0
215,20000,Married,GradSch,Female,42,1,3,6249,5965,0,0,0
216,150000,Married,GradSch,Female,36,0,0,119613,115349,5900,5019,0
217,80000,Married,GradSch,Female,34,0,0,333,333,333,333,0
218,50000,Married,GradSch,Female,37,0,0,12236,13324,1300,1300,0
219,2.00E+05,Married,GradSch,Female,39,0,0,5308,3959,3981,13909,0
220,2.00E+05,Married,GradSch,Female,35,0,0,748,49007,49007,11095,0
221,50000,Married,GradSch,Female,40,0,0,42659,35552,1500,2000,0
222,70000,Married,GradSch,Female,38,0,0,65763,38209,3000,2000,0
223,150000,Married,GradSch,Female,35,0,0,3267,3782,3782,316,0
224,50000,Married,GradSch,Female,37,2,2,16639,16041,14,1505,0
225,2.00E+05,Married,GradSch,Female,37,0,0,92215,94085,4300,4500,0
226,130000,Married,GradSch,Female,34,0,0,122199,125283,5100,3085,0
227,250000,Married,GradSch,Female,37,0,0,2746,1666,1666,3597,0
228,360000,Married,GradSch,Female,36,0,2,1605,1448,14,0,0
229,3.00E+05,Married,GradSch,Female,38,0,0,49917,49833,5000,5000,0
230,460000,Married,GradSch,Female,36,0,0,460609,427584,18138,15481,0
231,50000,Married,GradSch,Female,38,2,0,49444,50621,2306,2155,0
232,50000,Married,GradSch,Female,36,0,0,39429,39548,1781,1770,0
233,20000,Married,GradSch,Female,34,0,0,13858,15121,1500,1600,0
234,420000,Married,GradSch,Female,38,0,0,387143,24830,1585,1174,0
235,170000,Married,GradSch,Female,43,0,0,17862,17927,1323,1196,0
236,70000,Married,GradSch,Female,35,0,0,32845,31377,3100,6000,0
237,90000,Married,GradSch,Female,37,0,0,7489,5798,5833,15114,0
238,240000,Married,GradSch,Female,39,0,0,230979,222096,7347,6830,0
239,60000,Married,GradSch,Female,44,1,2,29295,30321,1800,1500,0
240,160000,Married,GradSch,Female,33,0,0,151394,153702,5500,7054,0
241,120000,Married,GradSch,Female,37,3,3,12034,12548,1000,0,0
242,50000,Married,GradSch,Female,42,0,0,50089,41382,1798,1117,0
243,210000,Married,GradSch,Female,41,0,0,155913,165227,13000,0,0
244,140000,Married,GradSch,Female,39,0,0,109326,111679,5600,5600,0
245,350000,Married,GradSch,Female,36,1,0,208,2906,2906,1000,0
246,80000,Married,GradSch,Female,37,0,0,390,1063,1063,390,0
247,30000,Married,GradSch,Female,35,0,0,29956,30536,29000,1200,0
248,130000,Married,GradSch,Female,32,0,0,31280,32582,1813,1559,0
249,150000,Married,GradSch,Female,38,2,2,126115,128860,6300,6100,0
250,110000,Married,GradSch,Female,40,0,0,99353,90517,3500,3500,0
251,90000,Married,GradSch,Female,40,0,2,8792,7500,0,0,0
252,80000,Married,GradSch,Female,39,0,0,76117,76660,2300,2200,0
253,20000,Married,GradSch,Female,38,0,0,13639,14711,1600,1300,0
254,220000,Married,GradSch,Female,39,0,0,11636,11004,3004,3392,0
255,120000,Married,GradSch,Female,39,0,0,942,780,780,0,0
256,120000,Married,GradSch,Female,35,0,0,111441,113869,5596,5498,0
257,60000,Married,GradSch,Female,34,0,0,0,0,0,0,0
258,110000,Married,GradSch,Female,35,0,0,90929,92303,3550,3200,0
259,1.00E+05,Married,GradSch,Female,43,0,0,390,390,390,0,0
260,1.00E+05,Married,GradSch,Female,37,0,0,390,390,780,0,0
261,170000,Married,GradSch,Female,40,0,0,60514,33711,5011,5000,0
262,90000,Married,GradSch,Female,40,0,0,79063,64135,3687,1997,0
263,30000,Married,GradSch,Female,36,0,0,30003,30470,1643,1420,0
264,10000,Married,GradSch,Female,40,0,0,7863,8504,1172,1000,0
265,5.00E+05,Married,GradSch,Female,33,0,0,81252,14979,16527,27243,0
266,180000,Married,GradSch,Female,35,1,0,0,35300,35300,1000,0
267,90000,Married,GradSch,Female,38,0,0,82253,88238,8238,3200,0
268,270000,Married,GradSch,Female,42,0,0,274610,274870,10556,10050,0
269,3.00E+05,Married,GradSch,Female,30,0,0,11613,12893,1513,1000,0
270,10000,Married,GradSch,Female,35,0,0,9406,9968,3009,2000,0
271,2.00E+05,Married,GradSch,Female,41,0,0,7429,24325,24325,40265,0
272,80000,Married,GradSch,Female,33,0,0,47933,39695,2100,3650,0
273,90000,Married,GradSch,Female,38,2,2,86014,92898,8300,2400,0
274,260000,Married,GradSch,Female,38,0,0,241565,244619,13000,6500,0
275,20000,Married,GradSch,Female,34,1,2,19844,19238,0,1302,0
276,80000,Married,GradSch,Female,37,0,0,48305,48823,1739,1701,0
277,180000,Married,GradSch,Female,37,0,0,119333,123150,6000,0,0
278,210000,Married,GradSch,Female,34,0,0,203273,188955,6515,7113,0
279,70000,Married,GradSch,Female,35,0,0,43462,41845,3000,3000,0
280,310000,Married,GradSch,Female,36,1,0,0,0,0,326,0
281,220000,Married,GradSch,Female,36,0,0,171182,175334,7000,6500,0
282,230000,Married,GradSch,Female,39,0,0,2789,2942,2942,2520,0
283,80000,Married,GradSch,Female,38,0,0,330,0,0,660,0
284,50000,Married,GradSch,Female,35,0,0,50342,44659,8025,5023,0
285,2.00E+05,Married,GradSch,Female,37,0,0,157768,108932,6000,5000,0
286,80000,Married,GradSch,Female,37,0,0,68194,24956,2000,3000,0
287,350000,Married,GradSch,Female,43,0,0,257463,256706,10023,7700,0
288,130000,Married,GradSch,Female,42,0,0,1439,3548,3555,1010,0
289,80000,Married,GradSch,Female,37,0,0,4762,6712,6734,1817,0
290,50000,Married,GradSch,Female,42,0,0,49120,50823,2504,1590,0
291,220000,Married,GradSch,Female,37,0,0,2500,0,0,0,0
292,4.00E+05,Married,GradSch,Female,38,0,0,21012,10107,5056,241366,0
293,80000,Married,GradSch,Female,29,0,0,71604,73316,3500,3500,0
294,90000,Married,GradSch,Female,39,0,0,70559,51550,3000,0,0
295,5.00E+05,Married,GradSch,Female,38,0,0,355251,354394,12680,13464,0
296,170000,Married,GradSch,Female,38,0,0,415,415,415,415,0
297,240000,Married,GradSch,Female,45,0,0,74270,75959,3200,6100,0
298,120000,Married,GradSch,Female,40,0,0,827,827,827,827,0
299,170000,Married,GradSch,Female,37,0,0,177956,176155,7262,5586,0
300,150000,Married,GradSch,Female,34,0,0,32428,32136,2000,1650,0
301,1.00E+05,Married,GradSch,Female,41,1,0,0,203,203,0,0
302,20000,Married,GradSch,Female,33,0,0,19382,20040,1318,1499,0
303,50000,Married,GradSch,Female,38,2,2,50974,51688,3000,0,0
304,130000,Married,GradSch,Female,35,0,0,32236,41510,10000,0,0
305,420000,Married,GradSch,Female,37,0,0,204984,209929,8006,7000,0
306,190000,Married,GradSch,Female,41,0,0,97136,98767,4418,5452,0
307,30000,Married,GradSch,Female,34,0,0,3055,18392,18407,640,0
308,360000,Married,GradSch,Female,32,0,0,5344,9852,9860,8537,0
309,460000,Married,GradSch,Female,38,2,0,7121,7953,1273,1288,0
310,50000,Married,GradSch,Female,42,0,0,46351,20055,1377,1165,0
311,2.00E+05,Married,GradSch,Female,35,1,0,0,0,0,0,0
312,250000,Married,GradSch,Female,44,0,0,1181,1545,1545,1000,0
313,170000,Married,GradSch,Female,40,0,0,0,0,0,0,0
314,20000,Married,GradSch,Female,34,0,0,9269,10585,1477,1500,0
315,120000,Married,GradSch,Female,34,0,0,20157,19295,2000,1500,0
316,20000,Married,GradSch,Female,36,0,0,8936,9700,1000,0,0
317,150000,Married,GradSch,Female,32,0,0,28416,37392,10000,10008,0
318,230000,Married,GradSch,Female,34,0,0,4827,5605,2000,3050,0
319,290000,Married,GradSch,Female,41,0,0,33765,2682,2682,470,0
320,80000,Married,GradSch,Female,37,0,0,76118,78451,4196,3569,0
321,90000,Married,GradSch,Female,41,1,0,0,1191,1191,0,0
322,3.00E+05,Married,GradSch,Female,42,0,0,0,0,0,0,0
323,3.00E+05,Married,GradSch,Female,38,0,0,9582,6803,1818,7217,0
324,50000,Married,GradSch,Female,39,0,0,25254,26366,2000,510,0
325,1.00E+05,Married,GradSch,Female,36,1,2,97002,102698,8200,0,0
326,260000,Married,GradSch,Female,40,0,0,251267,254332,12021,11710,0
327,230000,Married,GradSch,Female,36,0,0,0,0,0,0,0
328,150000,Married,GradSch,Female,37,1,2,125938,132110,9734,14500,0
329,80000,Married,GradSch,Female,39,0,0,65088,65200,3000,4000,0
330,220000,Married,GradSch,Female,37,0,0,4624,2874,2888,1216,0
331,360000,Married,GradSch,Female,39,0,0,23411,27796,4796,3400,0
332,140000,Married,GradSch,Female,41,0,0,66526,65667,3990,4000,0
333,150000,Married,GradSch,Female,38,1,0,0,0,0,0,0
334,140000,Married,GradSch,Female,34,0,0,330,330,330,330,0
335,120000,Married,GradSch,Female,38,1,2,116344,111960,0,6781,0
336,140000,Married,GradSch,Female,41,0,0,132629,135901,5406,5700,0
337,110000,Married,GradSch,Female,39,0,0,105080,107420,5540,5361,0
338,2.00E+05,Married,GradSch,Female,34,0,0,972,-1,0,0,0
339,140000,Married,GradSch,Female,31,1,0,0,7933,7933,2000,0
340,140000,Married,GradSch,Female,41,1,0,-53,-53,0,1170,0
341,50000,Married,GradSch,Female,42,0,0,39859,38781,1501,2003,0
342,90000,Married,GradSch,Female,34,0,0,47585,48575,1782,2129,0
343,50000,Married,GradSch,Female,31,0,0,49385,49527,1500,1467,0
344,30000,Married,GradSch,Female,42,0,0,26725,28289,2000,2000,0
345,180000,Married,GradSch,Female,38,0,0,166569,144637,6000,6382,0
346,2.00E+05,Married,GradSch,Female,34,0,0,3659,1710,1718,5069,0
347,190000,Married,GradSch,Female,37,0,0,141693,143464,5618,5795,0
348,2.00E+05,Married,GradSch,Female,43,0,0,75811,77554,4001,3501,0
349,170000,Married,GradSch,Female,41,0,0,77795,66420,5000,20000,0
350,5.00E+05,Married,GradSch,Female,35,0,0,42081,46495,16495,15720,0
351,140000,Married,GradSch,Female,43,0,0,135206,135316,5082,5008,0
352,240000,Married,GradSch,Female,35,0,0,209848,214477,10000,9000,0
353,350000,Married,GradSch,Female,41,0,0,3860,648,648,11198,0
354,260000,Married,GradSch,Female,41,0,0,0,0,0,0,0
355,150000,Married,GradSch,Female,36,0,0,69627,49082,5000,3000,0
356,330000,Married,GradSch,Female,34,1,0,-317,-2066,569,817,0
357,110000,Married,GradSch,Female,34,1,0,-1256,65064,68500,3114,0
358,250000,Married,GradSch,Female,42,0,0,1962,82,82,82,0
359,30000,Married,GradSch,Female,37,0,0,1596,0,0,0,0
360,20000,Married,GradSch,Female,40,0,0,15196,16373,1428,1500,0
361,2.00E+05,Married,GradSch,Female,43,0,0,354304,303188,8000,5600,0
362,50000,Married,GradSch,Female,38,0,0,47038,51310,10020,2170,0
363,40000,Married,GradSch,Female,33,1,2,40910,39592,0,2196,0
364,80000,Married,GradSch,Female,43,0,0,43024,9821,5098,600,0
365,180000,Married,GradSch,Female,39,1,0,0,0,0,0,0
366,2.00E+05,Married,GradSch,Female,37,0,0,1041,1053,2000,2011,0
367,320000,Married,GradSch,Female,38,0,0,11639,7508,2552,2016,0
368,50000,Married,GradSch,Female,40,1,2,25922,25154,55,4500,0
369,50000,Married,GradSch,Female,39,0,0,22616,21415,1668,1283,0
370,150000,Married,GradSch,Female,40,0,0,135587,138473,4000,4000,0
371,1.00E+05,Married,GradSch,Female,31,0,0,93411,4081,11645,0,0
372,1.00E+05,Married,GradSch,Female,38,2,0,99627,101079,3796,3041,0
373,20000,Married,GradSch,Female,30,1,2,11893,12906,1500,500,0
374,170000,Married,GradSch,Female,34,0,0,164214,165825,8001,7077,0
375,360000,Married,GradSch,Female,39,0,0,23900,0,0,0,0
376,320000,Married,GradSch,Female,40,0,0,1043,0,0,20012,0
377,10000,Married,GradSch,Female,40,3,2,10281,9949,25,4000,0
378,120000,Married,GradSch,Female,35,0,0,32317,33496,2000,2000,0
379,180000,Married,GradSch,Female,39,0,0,1651,0,0,0,0
380,170000,Married,GradSch,Female,37,0,0,51401,47742,2100,2105,0
381,50000,Married,GradSch,Female,42,1,0,0,0,0,0,0
382,190000,Married,GradSch,Female,37,1,2,49541,48458,0,1400,0
383,50000,Married,GradSch,Female,40,0,0,50148,50761,1840,1311,0
384,30000,Married,GradSch,Female,43,0,0,6003,4912,1440,2259,0
385,4.00E+05,Married,GradSch,Female,40,0,0,6389,59407,59570,1105,0
386,490000,Married,GradSch,Female,38,0,0,0,0,0,244033,0
